,"	Regional Hospital ",Facility_Name,"	Distance to Reg Hosp ",Maina...Facility.name,Fac.NAME,Admin1,Facility.name,Facility.type,Ownership,LL.source,Lat,Long,FacLong,FacLat,Source,geometry...longitude,geometry.latitude,UnitId,UnitType,UnitTypeName,TypeMainaOverGhana,FacilitySwitch,MainaSwitch,NewFacilityTypes,UnitTypeNaFac,LvlId,Region,CODE,NAME,COMMENT,CODE_1,NAME_1,NEAR_FID,NEAR_DIST,Facility_Name,Longitude,Latitude,geometry,Region,District,Town,facilityID,Xpert,dummy
351,Tamale Regional Hospital,Yendi District Hospital,0.829074,Yendi District Hospital,YENDI DIST. HOSP.,Northern,Yendi District Hospital,District Hospital,MoH,GPS,9.44604,-4.02E-03,-0.00402,9.44604,both,c(-0.0040200004223071,9.44604000027457),GHH01682,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP006005000000000000,GHP006,1682,YENDI DIST. HOSP.,NA,136,Yendi,-1,-1,Yendi District Hospital,-0.00402,9.44604,c(-0.0040200004223071  9.44604000027457),NORTHERN,YENDI MUNICIPAL,Yendi East,1965,no,0
352,Tamale Regional Hospital,Zabzugu Polyclinic,1.21332,Zabzugu Polyclinic,ZABZUGU POLYCLINIC,Northern,Zabzugu Polyclinic,Polyclinic,MoH,GPS,9.29565,0.37705,0.37705,9.29565,both,c(0.377049999967614,9.2956499997442),GHH01694,3,Clinic,Clinic,Clinic,Hospital,Hospital,Clinic,GHP006013000000000000,GHP006,1694,ZABZUGU POLYCLINIC,NA,138,Zabzugu-Tatale,-1,-1,Zabzugu Polyclinic,0.37705,9.29565,c(0.377049999967614  9.2956499997442),NORTHERN,ZABZUGU,,1996,no,0
353,Bolgatanga Regional Hospital,Zebilla  District Hospital,0.402464,Zebilla  District Hospital,ZEBILLA HOSPITAL,Upper East,Zebilla  District Hospital,District Hospital,MoH,GPS,10.93621,-0.47351,-0.47351,10.93621,both,c(-0.47351000013004,10.9362100002943),GHH01214,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP007005000000000000,GHP007,1214,ZEBILLA HOSPITAL,ZEBILLA,37,Bawku West,-1,-1,Zebilla  District Hospital,-0.47351,10.93621,c(-0.47351000013004  10.9362100002943),UPPER EAST,BAWKU WEST,,2172,no,0
6,Central Regional Hospital,Abura Dunkwa District Hospital,0.232545,Abura Dunkwa District Hospital,ABURA DONKWA HOSP.,Central,Abura Dunkwa District Hospital,District Hospital,MoH,GPS,5.34485,-1.17108,-1.17093,5.34541,both,c(-1.17093000040812,5.34541000030881),GHH00532,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP003010000000000000,GHP003,532,ABURA DONKWA HOSP.,ABURA DUNKWA,1,Abura-Asebu-Kwamankese,-1,-1,Abura Dunkwa District Hospital,-1.17093,5.34541,c(-1.17093000040812  5.34541000030881),CENTRAL,ABURA-ASEBU-KWAMANKESE,Abura Dunkwa,1196,no,0
25,Central Regional Hospital,Ajumako District Hospital,0.42571,Ajumako District Hospital,Ajumako Hospital,Central,Ajumako District Hospital,District Hospital,MoH,GPS,5.4237,-0.95484,-0.95484,5.4237,both,c(-0.954840000098372,5.42370000044313),GHH00568,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP003004000000000000,GHP003,568,Ajumako Hospital,Ajumako,12,Ajumako-Enyan-Essiam,-1,-1,Ajumako District Hospital,-0.95484,5.4237,c(-0.954840000098372  5.42370000044313),CENTRAL,AJUMAKO-ENYAN-ESSIAM,Ajumako,1197,no,0
36,Central Regional Hospital,Ankaful Lep/Gen Hosp,0.0545779,NA,Ankaful Lep/Gen Hosp,NA,NA,NA,NA,NA,NA,NA,-1.31776,5.1506,fac,c(-1.31776000011011,5.15059999968351),GHH00664,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP003006000000000000,GHP003,664,Ankaful Lep/Gen Hosp,Ankaful,80,Komenda-Edina-Eguafo-Abirem,-1,-1,Ankaful Lep/Gen Hosp,-1.31776,5.1506,c(-1.31776000011011  5.15059999968351),CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM MUNICIPAL,Ankaful,1273,no,0
37,Central Regional Hospital,Apam Catholic Hospital,0.547389,Apam Catholic Hospital,Apam Catholic Hospital,Central,Apam Catholic Hospital,Hospital,FBO,GPS,5.28142,-0.73909,-0.73909,5.28142,both,c(-0.739090000445547,5.28141999979151),GHH00587,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP003012000000000000,GHP003,587,Apam Catholic Hospital,Apam,63,Gomoa,-1,-1,Apam Catholic Hospital,-0.73909,5.28142,c(-0.739090000445547  5.28141999979151),CENTRAL,GOMOA WEST,Apam,194,no,0
44,Central Regional Hospital,St. Francis Xavier District Hospital,0.566607,St. Francis Xavier District Hospital,Assin Fosu Catholic Hospital,Central,St. Francis Xavier District Hospital,District Hospital,FBO,GPS,5.6996,-1.28136,-1.28136,5.6996,both,c(-1.28135999979457,5.69960000019227),GHH00479,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP003009000000000000,GHP003,479,Assin Fosu Catholic Hospital,Assin Fosu,25,Assin North,-1,-1,St. Francis Xavier District Hospital,-1.28136,5.6996,c(-1.28135999979457  5.69960000019227),CENTRAL,ASSIN CENTRAL MUNICIPAL,,254,no,0
49,Central Regional Hospital,BAIDEN GARTEY HOSP,0.0121092,NA,BAIDEN GARTEY HOSP,NA,NA,NA,NA,NA,NA,NA,-1.27525,5.12535,fac,c(-1.27524999969346,5.12534999962472),GHH00519,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP003011000000000000,GHP003,519,BAIDEN GARTEY HOSP,PEDU,49,Cape Coast,-1,-1,BAIDEN GARTEY HOSP,-1.27525,5.12535,c(-1.27524999969346  5.12534999962472),CENTRAL,CAPE COAST METROPOLITAN,,1239,no,0
72,Central Regional Hospital,Cape Coast Metropolitan Hospital,0.0315196,Cape Coast Metropolitan Hospital,Cape Coast District Hospital,Central,Cape Coast Metropolitan Hospital,Municipal Hospital,MoH,GPS,5.10247,-1.25902,-1.25902,5.10247,both,c(-1.25902000001306,5.10246999956313),GHH00521,1,Hospital and Teaching Hospital,Municipal Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP003011000000000000,GHP003,521,Cape Coast District Hospital,OLA RD,49,Cape Coast,-1,-1,Cape Coast Metropolitan Hospital,-1.25902,5.10247,c(-1.25902000001306  5.10246999956313),CENTRAL,CAPE COAST METROPOLITAN,Capecoast,1237,no,0
86,Central Regional Hospital,Saltpond Government District Hospital,0.22167,Saltpond Government District Hospital,District Hospital,Central,Saltpond Government District Hospital,District Hospital,MoH,GPS,5.2045,-1.05614,-1.05614,5.2045,both,c(-1.05613999994244,5.20450000001677),GHH00542,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP003007000000000000,GHP003,542,District Hospital,Saltpond,90,Mfantseman,-1,-1,Saltpond Government District Hospital,-1.05614,5.2045,c(-1.05613999994244  5.20450000001677),CENTRAL,MFANTSEMAN MUNICIPAL,Saltpong,236,no,0
87,Ridge Hospital,Winneba Government District Hospital,0.477231,Winneba Government District Hospital,District Hospital,Central,Winneba Government District Hospital,District Hospital,MoH,GPS,5.34374,-0.6229,-0.6229,5.34374,both,c(-0.622899999864073,5.34374000020091),GHH00595,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP003004000000000000,GHP003,595,District Hospital,Winneba,35,Awutu-Efutu-Senya,-1,-1,Winneba Government District Hospital,-0.6229,5.34374,c(-0.622899999864073  5.34374000020091),CENTRAL,EFFUTU MUNICIPAL,Winneba,1274,no,0
239,Ridge Hospital,Otoo Hospital,0.50495,NA,Otoo Hospital,NA,NA,NA,NA,NA,NA,NA,-0.70316,5.54014,fac,c(-0.703159999584998,5.54013999997809),GHH00653,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP003002000000000000,GHP003,653,Otoo Hospital,Swedru,8,Agona,-1,-1,Otoo Hospital,-0.70316,5.54014,c(-0.703159999584998  5.54013999997809),CENTRAL,AGONA WEST MUNICIPAL,,211,no,0
240,Central Regional Hospital,Our Lady of Grace Hospital,0.522315,Our Lady of Grace Hospital,OUR LADY OF GRACE,Central,Our Lady of Grace Hospital,Hospital,FBO,GPS,5.58063,-0.99655,-0.99655,5.58063,both,c(-0.996550000448827,5.58063000022513),GHH00556,9,Undetermined,Hospital and Teaching Hospital,Undetermined,Hospital,District Hospital,Undetermined,GHP003008000000000000,GHP003,556,OUR LADY OF GRACE,BREMAN ASIKUMA,24,Asikuma-Odoben-Brakwa,-1,-1,Our Lady of Grace Hospital,-0.99655,5.58063,c(-0.996550000448827  5.58063000022513),CENTRAL,ASIKUMA-ODOBEN-BRAKWA,Asikuma,1235,no,0
316,Ridge Hospital,Agona Swedru Govermnt District Hospital,0.494641,Agona Swedru Govermnt District Hospital,Swedru Hospital,Central,Agona Swedru Govermnt District Hospital,District Hospital,MoH,GPS,5.53532,-0.6926,-0.6926,5.53532,both,c(-0.692599999789588,5.53531999984118),GHH00645,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP003002000000000000,GHP003,645,Swedru Hospital,Swedru,8,Agona,-1,-1,Agona Swedru Govermnt District Hospital,-0.6926,5.53532,c(-0.692599999789588  5.53531999984118),CENTRAL,AGONA WEST MUNICIPAL,,212,no,0
332,Central Regional Hospital,Praso District Hospital,0.555354,Praso District Hospital,Twifo Praso Hospital,Central,Praso District Hospital,District Hospital,MoH,GPS,5.61089,-1.54928,-1.54928,5.61089,both,c(-1.5492800000341,5.61089000010945),GHH00488,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP003001000000000000,GHP003,488,Twifo Praso Hospital,Twifo Praso,126,Twifu-Hemang-Lower Denkyira,-1,-1,Praso District Hospital,-1.54928,5.61089,c(-1.5492800000341  5.61089000010945),CENTRAL,TWIFO ATTI-MORKWA,Praso,1210,no,0
336,Central Regional Hospital,University of Cape Coast Hospital,0.0325856,University of Cape Coast Hospital,NA,Central,University of Cape Coast Hospital,Hospital,MoH,GPS,5.10537,-1.28298,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,Hospital and Teaching Hospital,NA,Hospital,Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University of Cape Coast Hospital,-1.28298,5.10537,c(-1.28298 5.10537),CENTRAL,CAPE COAST METROPOLITAN,,2612,no,0
1,Effia Nkwanta Regional Hospital,2BN. MILITARY HOSPITAL,0.0619466,NA,2BN. MILITARY HOSPITAL,NA,NA,NA,NA,NA,NA,NA,-1.80562,4.91426,fac,c(-1.80562000030408,4.91425999982801),GHH01969,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP010011000000000000,GHP010,1969,2BN. MILITARY HOSPITAL,APREMDO,11,Ahanta West,-1,-1,2BN. MILITARY HOSPITAL,-1.80562,4.91426,c(-1.80562000030408  4.91425999982801),WESTERN,SEKONDI TAKORADI METROPOLIS,,1091,no,0
5,Effia Nkwanta Regional Hospital,A.B.A. HOSPITAL,0.4664,NA,A.B.A. HOSPITAL,NA,NA,NA,NA,NA,NA,NA,-1.99114,5.32072,fac,c(-1.99114000001691,5.32071999956034),GHH02024,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP010010000000000000,GHP010,2024,A.B.A. HOSPITAL,AKYEMPIM,131,Wassa West,-1,-1,A.B.A. HOSPITAL,-1.99114,5.32072,c(-1.99114000001691  5.32071999956034),WESTERN,TARKWA NSUAEM,,916,no,0
19,Effia Nkwanta Regional Hospital,AHMADIYYA  MUSLIM  HOSPITAL,0.222919,NA,AHMADIYYA  MUSLIM  HOSPITAL,NA,NA,NA,NA,NA,NA,NA,-1.65779,5.13015,both,c(-1.65778999962107,5.13014999955361),GHH01780,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,District Hospital,Hospital and Teaching Hospital,GHP010004000000000000,GHP010,1780,AHMADIYYA  MUSLIM  HOSPITAL,DABOASE,91,Mpohor-Wassa East,-1,-1,AHMADIYYA  MUSLIM  HOSPITAL,-1.65779,5.13015,c(-1.65778999962107  5.13014999955361),WESTERN,WASSA EAST,Daboase,993,no,0
48,Effia Nkwanta Regional Hospital,Axim Government District Hospital,0.497735,Axim Government District Hospital,AXIM  GOV'T  HOSPITAL,Western,Axim Government District Hospital,District Hospital,MoH,GPS,4.86653,-2.23889,-2.23889,4.86653,both,c(-2.23888999962135,4.86652999963204),GHH01791,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP010001000000000000,GHP010,1791,AXIM  GOV'T  HOSPITAL,AXIM,100,Nzema East,-1,-1,Axim Government District Hospital,-2.23889,4.86653,c(-2.23888999962135  4.86652999963204),WESTERN,NZEMA EAST,Axim-nsein,1064,no,0
102,Effia Nkwanta Regional Hospital,Enchi Government District Hospital,1.4064,Enchi Government District Hospital,ENCHI  GOV'T  HOSPITAL,Western,Enchi Government District Hospital,District Hospital,MoH,GPS,5.82974,-2.82118,-2.82118,5.82974,both,c(-2.82117999967509,5.82974000031356),GHH01823,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP010008000000000000,GHP010,1823,ENCHI  GOV'T  HOSPITAL,ENCHI,21,Aowin-Suaman,-1,-1,Enchi Government District Hospital,-2.82118,5.82974,c(-2.82117999967509  5.82974000031356),WESTERN NORTH,AOWIN,Enchi,947,no,0
104,Effia Nkwanta Regional Hospital,Essikadu Polyclinic,0.0365716,Essikadu Polyclinic,ESSIKADO  POLYCLINIC,Western,Essikadu Polyclinic,Polyclinic,MoH,GPS,4.94575,-1.71459,-1.71459,4.94575,both,c(-1.71458999982718,4.9457500004144),GHH01974,3,Clinic,Clinic,Clinic,Hospital,Hospital,Clinic,GHP010011000000000000,GHP010,1974,ESSIKADO  POLYCLINIC,SEKONDI,111,Shama-Ahanta East,-1,-1,Essikadu Polyclinic,-1.71459,4.94575,c(-1.71458999982718  4.9457500004144),WESTERN,SEKONDI TAKORADI METROPOLIS,,1056,no,0
114,Effia Nkwanta Regional Hospital,G.M.C.HOSPITAL - NSUTA,0.427355,NA,G.M.C.HOSPITAL - NSUTA,NA,NA,NA,NA,NA,NA,NA,-1.98207,5.28011,fac,c(-1.98206999985067,5.28010999995415),GHH02021,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP010010000000000000,GHP010,2021,G.M.C.HOSPITAL - NSUTA,NSUTA,131,Wassa West,-1,-1,G.M.C.HOSPITAL - NSUTA,-1.98207,5.28011,c(-1.98206999985067  5.28010999995415),WESTERN,TARKWA NSUAEM,,913,no,0
117,Effia Nkwanta Regional Hospital,GHAPOHA HOSPITAL,0.0369934,NA,GHAPOHA HOSPITAL,NA,NA,NA,NA,NA,NA,NA,-1.75129,4.88844,fac,c(-1.75128999971835,4.88844000018533),GHH01971,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP010011000000000000,GHP010,1971,GHAPOHA HOSPITAL,TAKORADI,111,Shama-Ahanta East,-1,-1,GHAPOHA HOSPITAL,-1.75129,4.88844,c(-1.75128999971835  4.88844000018533),WESTERN,SEKONDI TAKORADI METROPOLIS,,1014,no,0
126,Effia Nkwanta Regional Hospital,Half Assini Government District Hospital,1.15203,Half Assini Government District Hospital,HALF  ASSINI  HOSPITAL,Western,Half Assini Government District Hospital,District Hospital,MoH,GPS,5.05314,-2.88944,-2.88944,5.05314,both,c(-2.88944000020019,5.05313999987003),GHH01858,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP010006000000000000,GHP010,1858,HALF  ASSINI  HOSPITAL,HALF-ASSINI,71,Jomoro,-1,-1,Half Assini Government District Hospital,-2.88944,5.05314,c(-2.88944000020019  5.05313999987003),WESTERN,JOMORO,Jomoro,978,no,0
209,Effia Nkwanta Regional Hospital,Nana Hima-Dekyi District Hospital,0.241232,Nana Hima-Dekyi District Hospital,NANA  HEMA DEKYI  HOSPITAL DIXCOVE,Western,Nana Hima-Dekyi District Hospital,District Hospital,MoH,Google Earth,4.800206602,-1.949987411,-1.94978,4.79799,both,c(-1.94978000036914,4.79798999958474),GHH01769,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP010007000000000000,GHP010,1769,NANA  HEMA DEKYI  HOSPITAL DIXCOVE,DIXCOVE,11,Ahanta West,-1,-1,Nana Hima-Dekyi District Hospital,-1.94978,4.79799,c(-1.94978000036914  4.79798999958474),WESTERN,AHANTA WEST MUNICIPAL,Dixcove,1090,no,0
234,Effia Nkwanta Regional Hospital,Old Hospital,0.0277198,Old Hospital,NA,Western,Old Hospital,Hospital,MoH,Combination,4.89984,-1.756596,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,Hospital and Teaching Hospital,NA,Hospital,Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Old Hospital,-1.756596,4.89984,c(-1.756596 4.89984),WESTERN,SEKONDI TAKORADI METROPOLIS,,3052,no,0
249,Effia Nkwanta Regional Hospital,Prestea Government Hospital,0.63624,Prestea Hospital,PRESTEA GOVT. HOSPITAL,Western,Prestea Hospital,Hospital,MoH,GPS,5.42662,-2.13573,-2.13573,5.42662,both,c(-2.13573000025226,5.42662000021686),GHH02022,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP010010000000000000,GHP010,2022,PRESTEA GOVT. HOSPITAL,PRESTEA,131,Wassa West,-1,-1,Prestea Government Hospital,-2.13573,5.42662,c(-2.13573000025226  5.42662000021686),WESTERN,PRESTEA/HUNI VALLEY,,914,no,0
253,Effia Nkwanta Regional Hospital,QUI - WAL CLINIC,0.038336,NA,QUI - WAL CLINIC,NA,NA,NA,NA,NA,NA,NA,-1.77715,4.9046,fac,c(-1.77715000032999,4.90459999995271),GHH01952,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP010011000000000000,GHP010,1952,QUI - WAL CLINIC,TAKORADI,111,Shama-Ahanta East,-1,-1,QUI - WAL CLINIC,-1.77715,4.9046,c(-1.77715000032999  4.90459999995271),WESTERN,SEKONDI TAKORADI METROPOLIS,,1017,no,0
254,Effia Nkwanta Regional Hospital,RABONI CHRISTIAN HOSPITAL,0.45461,NA,RABONI CHRISTIAN HOSPITAL,NA,NA,NA,NA,NA,NA,NA,-1.99302,5.30554,fac,c(-1.99301999963341,5.30554000001493),GHH02011,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP010010000000000000,GHP010,2011,RABONI CHRISTIAN HOSPITAL,TARKWA,131,Wassa West,-1,-1,RABONI CHRISTIAN HOSPITAL,-1.99302,5.30554,c(-1.99301999963341  5.30554000001493),WESTERN,TARKWA NSUAEM,,912,no,0
266,Effia Nkwanta Regional Hospital,SAMARTEX HOSPITAL,1.07209,NA,SAMARTEX HOSPITAL,NA,NA,NA,NA,NA,NA,NA,-2.56413,5.61599,fac,c(-2.56412999975066,5.6159900003009),GHH01989,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP010009000000000000,GHP010,1989,SAMARTEX HOSPITAL,SAMREBOI,20,Wassa-Amenfi West,-1,-1,SAMARTEX HOSPITAL,-2.56413,5.61599,c(-2.56412999975066  5.6159900003009),WESTERN,WASSA AMENFI WEST,,1160,no,0
308,Effia Nkwanta Regional Hospital,Asankragwa Catholic Hospital,1.1142,Asankragwa Catholic Hospital,ST.FRANCIS XAVIER HOSPITAL ASANKRAG,Western,Asankragwa Catholic Hospital,Hospital,FBO,GPS,5.80149,-2.43225,-2.43225,5.80149,both,c(-2.43225000016225,5.80148999972023),GHH01990,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP010009000000000000,GHP010,1990,ST.FRANCIS XAVIER HOSPITAL ASANKRAG,ASANKRAGWA,20,Wassa-Amenfi West,-1,-1,Asankragwa Catholic Hospital,-2.43225,5.80149,c(-2.43225000016225  5.80148999972023),WESTERN,WASSA AMENFI WEST,Asankrangwa,1159,no,0
310,Effia Nkwanta Regional Hospital,Eikwe Catholic Hospital,0.726334,Eikwe Catholic Hospital,ST.MARTIN DE PORRES HOSPITAL  EIKWE,Western,Eikwe Catholic Hospital,Hospital,FBO,GPS,4.96539,-2.46978,-2.46978,4.96539,both,c(-2.46978000025681,4.96538999992721),GHH01792,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP010001000000000000,GHP010,1792,ST.MARTIN DE PORRES HOSPITAL  EIKWE,EIKWE,100,Nzema East,-1,-1,Eikwe Catholic Hospital,-2.46978,4.96539,c(-2.46978000025681  4.96538999992721),WESTERN,ELLEMBELLE,,3061,no,0
339,Effia Nkwanta Regional Hospital,V.R.A. HOSPITAL,0.102315,NA,V.R.A. HOSPITAL,NA,NA,NA,NA,NA,NA,NA,-1.65502,4.97429,fac,c(-1.65502000042505,4.97429000004547),GHH01928,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,District Hospital,Hospital and Teaching Hospital,GHP010011000000000000,GHP010,1928,V.R.A. HOSPITAL,ABOADZE,111,Shama-Ahanta East,-1,-1,V.R.A. HOSPITAL,-1.65502,4.97429,c(-1.65502000042505  4.97429000004547),WESTERN,SHAMA,,1012,no,0
345,Effia Nkwanta Regional Hospital,Wassa Akropong Government District Hospital,0.921107,Wassa Akropong Government District Hospital,WASSA  AKROPONG  HOSPITAL,Western,Wassa Akropong Government District Hospital,District Hospital,MoH,GPS,5.7813,-2.08352,-2.08352,5.7813,both,c(-2.08352000038086,5.78129999983429),GHH01991,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP010013000000000000,GHP010,1991,WASSA  AKROPONG  HOSPITAL,WASSA AKROPONG,19,Wassa-Amenfi East,-1,-1,Wassa Akropong Government District Hospital,-2.08352,5.7813,c(-2.08352000038086  5.78129999983429),WESTERN,WASSA AMENFI EAST,Akropong,1174,no,0
3,Ridge Hospital,37 Military Hospital,0.0287553,NA,37 Military Hospital,NA,NA,NA,NA,NA,NA,NA,-0.18391,5.58704,fac,c(-0.183910000433068,5.58704000032191),GHH01067,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,1067,37 Military Hospital,NA,2,Accra,-1,-1,37 Military Hospital,-0.18391,5.58704,c(-0.183910000433068  5.58704000032191),GREATER ACCRA,ACCRA METROPOLIS,,30,no,0
9,Ridge Hospital,Achimota Hospital,0.0687425,Achimota Hospital,Achimota Hospital,Greater Accra,Achimota Hospital,Hospital,MoH,GPS,5.62922,-0.21476,-0.21476,5.62922,both,c(-0.214759999615848,5.62922000015914),GHH00819,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP005006000000000000,GHP005,819,Achimota Hospital,Atomic,2,Accra,-1,-1,Achimota Hospital,-0.23333,5.61667,c(-0.214759999615848  5.62922000015914),GREATER ACCRA,OKAIKWEI NORTH MUNICIPAL,Achimota,55,no,0
10,Ridge Hospital,Adabraka Polyclinic,0.0061671,Adabraka Polyclinic,Adabraka Polyclinic,Greater Accra,Adabraka Polyclinic,Polyclinic,MoH,GPS,5.56129,-0.20477,-0.20477,5.56129,both,c(-0.204769999732843,5.56128999964245),GHH00774,3,Clinic,Clinic,Clinic,Hospital,Alt District Hospital,Clinic,GHP000000000000000000,GHP000,774,Adabraka Polyclinic,Adabraka,2,Accra,-1,-1,Adabraka Polyclinic,-0.20477,5.56129,c(-0.204769999732843  5.56128999964245),GREATER ACCRA,KORLE KLOTTEY MUNICIPAL,Adabraka,155,no,0
14,Ridge Hospital,Afenyo Memorial Hospital,0.208395,NA,Afenyo Memorial Hospital,NA,NA,NA,NA,NA,NA,NA,-0.03417,5.69028,fac,c(-0.0341699999963557,5.69028000013295),GHH01052,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP005003000000000000,GHP005,1052,Afenyo Memorial Hospital,Ashaiman,124,Tema,-1,-1,Afenyo Memorial Hospital,-0.03417,5.69028,c(-0.0341699999963557  5.69028000013295),GREATER ACCRA,ASHAIMAN MUNICIPAL,,536,no,0
27,REGIONAL HOSPITA KOFORIDUA,Akim Oda District Hospital,0.747389,Akim Oda District Hospital,NA,Eastern,Akim Oda District Hospital,District Hospital,MoH,GPS,5.92785,-0.98527,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,District Hospital,NA,Hospital,District Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akim Oda District Hospital,-0.98527,5.92785,c(-0.98527 5.92785),EASTERN,BIRIM CENTRAL MUNICIPAL,Jamaica,376,no,0
29,REGIONAL HOSPITA KOFORIDUA,Akuse Government Hospital,0.132396,Akuse Government Hospital,AKUSE GOVERNMENT HOSPITAL,Eastern,Akuse Government Hospital,Hospital,MoH,GPS,6.09765,0.125167,-0.1248,6.09793,both,c(-0.124800000440164,6.09792999971006),GHH02346,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP004015000000000000,GHP004,2346,AKUSE GOVERNMENT HOSPITAL,AKUSE,14,Akwapim North,-1,-1,Akuse Government Hospital,0.125167,6.09765,c(-0.124800000440164  6.09792999971006),EASTERN,LOWER MANYA KROBO,Akuse,332,no,0
30,Ridge Hospital,Nsawam District Hospital,0.284256,Nsawam District Hospital,Akwapim South Hospital,Eastern,Nsawam District Hospital,District Hospital,MoH,GPS,5.81045,-0.33749,-0.33749,5.81045,both,c(-0.337489999570392,5.81045000038151),GHH02130,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP004002000000000000,GHP004,2130,Akwapim South Hospital,Nsawam,15,Akwapim South,-1,-1,Nsawam District Hospital,-0.33749,5.81045,c(-0.337489999570392  5.81045000038151),EASTERN,NSAWAM ADOAGYIRE MUNICIPAL,Nsawam,357,no,0
